tabela,coluna,linha_origem,valor_original,acao
products,product_weight_g,9769,0.0,medida_zero_para_ausente
products,product_weight_g,13683,0.0,medida_zero_para_ausente
products,product_weight_g,14997,0.0,medida_zero_para_ausente
products,product_weight_g,32079,0.0,medida_zero_para_ausente
payments,payment_installments,46982,0,numero_invalido_para_ausente
payments,payment_installments,79014,0,numero_invalido_para_ausente
geolocation,linha,15,15,duplicata_exata_removida
geolocation,linha,44,44,duplicata_exata_removida
geolocation,linha,65,65,duplicata_exata_removida
geolocation,linha,66,66,duplicata_exata_removida
geolocation,linha,67,67,duplicata_exata_removida
geolocation,linha,72,72,duplicata_exata_removida
geolocation,linha,79,79,duplicata_exata_removida
geolocation,linha,80,80,duplicata_exata_removida
geolocation,linha,82,82,duplicata_exata_removida
geolocation,linha,86,86,duplicata_exata_removida
geolocation,linha,89,89,duplicata_exata_removida
geolocation,linha,91,91,duplicata_exata_removida
geolocation,linha,94,94,duplicata_exata_removida
geolocation,linha,95,95,duplicata_exata_removida
geolocation,linha,97,97,duplicata_exata_removida
geolocation,linha,102,102,duplicata_exata_removida
geolocation,linha,104,104,duplicata_exata_removida
geolocation,linha,106,106,duplicata_exata_removida
geolocation,linha,111,111,duplicata_exata_removida
geolocation,linha,114,114,duplicata_exata_removida
geolocation,linha,116,116,duplicata_exata_removida
geolocation,linha,117,117,duplicata_exata_removida
geolocation,linha,136,136,duplicata_exata_removida
geolocation,linha,147,147,duplicata_exata_removida
geolocation,linha,150,150,duplicata_exata_removida
geolocation,linha,151,151,duplicata_exata_removida
geolocation,linha,156,156,duplicata_exata_removida
geolocation,linha,161,161,duplicata_exata_removida
geolocation,linha,174,174,duplicata_exata_removida
geolocation,linha,177,177,duplicata_exata_removida
geolocation,linha,187,187,duplicata_exata_removida
geolocation,linha,190,190,duplicata_exata_removida
geolocation,linha,194,194,duplicata_exata_removida
geolocation,linha,199,199,duplicata_exata_removida
geolocation,linha,202,202,duplicata_exata_removida
geolocation,linha,204,204,duplicata_exata_removida
geolocation,linha,211,211,duplicata_exata_removida
geolocation,linha,220,220,duplicata_exata_removida
geolocation,linha,222,222,duplicata_exata_removida
geolocation,linha,223,223,duplicata_exata_removida
geolocation,linha,224,224,duplicata_exata_removida
geolocation,linha,227,227,duplicata_exata_removida
geolocation,linha,237,237,duplicata_exata_removida
geolocation,linha,239,239,duplicata_exata_removida
geolocation,linha,240,240,duplicata_exata_removida
geolocation,linha,244,244,duplicata_exata_removida
geolocation,linha,248,248,duplicata_exata_removida
geolocation,linha,253,253,duplicata_exata_removida
geolocation,linha,255,255,duplicata_exata_removida
geolocation,linha,256,256,duplicata_exata_removida
geolocation,linha,258,258,duplicata_exata_removida
geolocation,linha,260,260,duplicata_exata_removida
geolocation,linha,263,263,duplicata_exata_removida
geolocation,linha,265,265,duplicata_exata_removida
geolocation,linha,272,272,duplicata_exata_removida
geolocation,linha,273,273,duplicata_exata_removida
geolocation,linha,274,274,duplicata_exata_removida
geolocation,linha,275,275,duplicata_exata_removida
geolocation,linha,276,276,duplicata_exata_removida
geolocation,linha,279,279,duplicata_exata_removida
geolocation,linha,280,280,duplicata_exata_removida
geolocation,linha,284,284,duplicata_exata_removida
geolocation,linha,285,285,duplicata_exata_removida
geolocation,linha,286,286,duplicata_exata_removida
geolocation,linha,293,293,duplicata_exata_removida
geolocation,linha,295,295,duplicata_exata_removida
geolocation,linha,304,304,duplicata_exata_removida
geolocation,linha,308,308,duplicata_exata_removida
geolocation,linha,310,310,duplicata_exata_removida
geolocation,linha,312,312,duplicata_exata_removida
geolocation,linha,314,314,duplicata_exata_removida
geolocation,linha,315,315,duplicata_exata_removida
geolocation,linha,316,316,duplicata_exata_removida
geolocation,linha,318,318,duplicata_exata_removida
geolocation,linha,323,323,duplicata_exata_removida
geolocation,linha,325,325,duplicata_exata_removida
geolocation,linha,330,330,duplicata_exata_removida
geolocation,linha,332,332,duplicata_exata_removida
geolocation,linha,337,337,duplicata_exata_removida
geolocation,linha,341,341,duplicata_exata_removida
geolocation,linha,343,343,duplicata_exata_removida
geolocation,linha,346,346,duplicata_exata_removida
geolocation,linha,349,349,duplicata_exata_removida
geolocation,linha,352,352,duplicata_exata_removida
geolocation,linha,353,353,duplicata_exata_removida
geolocation,linha,356,356,duplicata_exata_removida
geolocation,linha,357,357,duplicata_exata_removida
geolocation,linha,361,361,duplicata_exata_removida
geolocation,linha,366,366,duplicata_exata_removida
geolocation,linha,373,373,duplicata_exata_removida
geolocation,linha,374,374,duplicata_exata_removida
geolocation,linha,378,378,duplicata_exata_removida
geolocation,linha,383,383,duplicata_exata_removida
geolocation,linha,385,385,duplicata_exata_removida
geolocation,linha,387,387,duplicata_exata_removida
geolocation,linha,388,388,duplicata_exata_removida
geolocation,linha,392,392,duplicata_exata_removida
geolocation,linha,395,395,duplicata_exata_removida
geolocation,linha,397,397,duplicata_exata_removida
geolocation,linha,401,401,duplicata_exata_removida
geolocation,linha,405,405,duplicata_exata_removida
geolocation,linha,407,407,duplicata_exata_removida
geolocation,linha,409,409,duplicata_exata_removida
geolocation,linha,410,410,duplicata_exata_removida
geolocation,linha,411,411,duplicata_exata_removida
geolocation,linha,412,412,duplicata_exata_removida
geolocation,linha,413,413,duplicata_exata_removida
geolocation,linha,415,415,duplicata_exata_removida
geolocation,linha,416,416,duplicata_exata_removida
geolocation,linha,418,418,duplicata_exata_removida
geolocation,linha,422,422,duplicata_exata_removida
geolocation,linha,424,424,duplicata_exata_removida
geolocation,linha,429,429,duplicata_exata_removida
geolocation,linha,432,432,duplicata_exata_removida
geolocation,linha,436,436,duplicata_exata_removida
geolocation,linha,438,438,duplicata_exata_removida
geolocation,linha,441,441,duplicata_exata_removida
geolocation,linha,444,444,duplicata_exata_removida
geolocation,linha,445,445,duplicata_exata_removida
geolocation,linha,447,447,duplicata_exata_removida
geolocation,linha,449,449,duplicata_exata_removida
geolocation,linha,450,450,duplicata_exata_removida
geolocation,linha,452,452,duplicata_exata_removida
geolocation,linha,458,458,duplicata_exata_removida
geolocation,linha,461,461,duplicata_exata_removida
geolocation,linha,462,462,duplicata_exata_removida
geolocation,linha,463,463,duplicata_exata_removida
geolocation,linha,464,464,duplicata_exata_removida
geolocation,linha,465,465,duplicata_exata_removida
geolocation,linha,466,466,duplicata_exata_removida
geolocation,linha,467,467,duplicata_exata_removida
geolocation,linha,468,468,duplicata_exata_removida
geolocation,linha,469,469,duplicata_exata_removida
geolocation,linha,471,471,duplicata_exata_removida
geolocation,linha,473,473,duplicata_exata_removida
geolocation,linha,476,476,duplicata_exata_removida
geolocation,linha,477,477,duplicata_exata_removida
geolocation,linha,482,482,duplicata_exata_removida
geolocation,linha,489,489,duplicata_exata_removida
geolocation,linha,490,490,duplicata_exata_removida
geolocation,linha,493,493,duplicata_exata_removida
geolocation,linha,495,495,duplicata_exata_removida
geolocation,linha,498,498,duplicata_exata_removida
geolocation,linha,499,499,duplicata_exata_removida
geolocation,linha,502,502,duplicata_exata_removida
geolocation,linha,503,503,duplicata_exata_removida
geolocation,linha,504,504,duplicata_exata_removida
geolocation,linha,505,505,duplicata_exata_removida
geolocation,linha,506,506,duplicata_exata_removida
geolocation,linha,508,508,duplicata_exata_removida
geolocation,linha,509,509,duplicata_exata_removida
geolocation,linha,510,510,duplicata_exata_removida
geolocation,linha,511,511,duplicata_exata_removida
geolocation,linha,512,512,duplicata_exata_removida
geolocation,linha,513,513,duplicata_exata_removida
geolocation,linha,515,515,duplicata_exata_removida
geolocation,linha,517,517,duplicata_exata_removida
geolocation,linha,521,521,duplicata_exata_removida
geolocation,linha,524,524,duplicata_exata_removida
geolocation,linha,526,526,duplicata_exata_removida
geolocation,linha,534,534,duplicata_exata_removida
geolocation,linha,539,539,duplicata_exata_removida
geolocation,linha,540,540,duplicata_exata_removida
geolocation,linha,541,541,duplicata_exata_removida
geolocation,linha,551,551,duplicata_exata_removida
geolocation,linha,552,552,duplicata_exata_removida
geolocation,linha,553,553,duplicata_exata_removida
geolocation,linha,554,554,duplicata_exata_removida
geolocation,linha,557,557,duplicata_exata_removida
geolocation,linha,559,559,duplicata_exata_removida
geolocation,linha,563,563,duplicata_exata_removida
geolocation,linha,565,565,duplicata_exata_removida
geolocation,linha,566,566,duplicata_exata_removida
geolocation,linha,567,567,duplicata_exata_removida
geolocation,linha,569,569,duplicata_exata_removida
