tabela,coluna,acao,valores_afetados
customers,customer_id,padronizacao_texto,0
customers,customer_unique_id,padronizacao_texto,0
customers,customer_zip_code_prefix,padronizacao_texto,0
customers,customer_city,padronizacao_texto,0
customers,customer_state,padronizacao_texto,0
orders,order_id,padronizacao_texto,0
orders,customer_id,padronizacao_texto,0
orders,order_status,padronizacao_texto,0
orders,order_purchase_timestamp,padronizacao_texto,0
orders,order_approved_at,padronizacao_texto,0
orders,order_delivered_carrier_date,padronizacao_texto,0
orders,order_delivered_customer_date,padronizacao_texto,0
orders,order_estimated_delivery_date,padronizacao_texto,0
items,order_id,padronizacao_texto,0
items,order_item_id,padronizacao_texto,0
items,product_id,padronizacao_texto,0
items,seller_id,padronizacao_texto,0
items,shipping_limit_date,padronizacao_texto,0
items,price,padronizacao_texto,0
items,freight_value,padronizacao_texto,0
payments,order_id,padronizacao_texto,0
payments,payment_sequential,padronizacao_texto,0
payments,payment_type,padronizacao_texto,0
payments,payment_installments,padronizacao_texto,0
payments,payment_value,padronizacao_texto,0
reviews,review_id,padronizacao_texto,0
reviews,order_id,padronizacao_texto,0
reviews,review_score,padronizacao_texto,0
reviews,review_comment_title,padronizacao_texto,0
reviews,review_comment_message,padronizacao_texto,0
reviews,review_creation_date,padronizacao_texto,0
reviews,review_answer_timestamp,padronizacao_texto,0
products,product_id,padronizacao_texto,0
products,product_category_name,padronizacao_texto,0
products,product_name_lenght,padronizacao_texto,0
products,product_description_lenght,padronizacao_texto,0
products,product_photos_qty,padronizacao_texto,0
products,product_weight_g,padronizacao_texto,0
products,product_length_cm,padronizacao_texto,0
products,product_height_cm,padronizacao_texto,0
products,product_width_cm,padronizacao_texto,0
sellers,seller_id,padronizacao_texto,0
sellers,seller_zip_code_prefix,padronizacao_texto,0
sellers,seller_city,padronizacao_texto,0
sellers,seller_state,padronizacao_texto,0
geolocation,geolocation_zip_code_prefix,padronizacao_texto,0
geolocation,geolocation_lat,padronizacao_texto,0
geolocation,geolocation_lng,padronizacao_texto,0
geolocation,geolocation_city,padronizacao_texto,0
geolocation,geolocation_state,padronizacao_texto,0
translation,product_category_name,padronizacao_texto,0
translation,product_category_name_english,padronizacao_texto,0
customers,customer_state,UF_maiuscula,0
sellers,seller_state,UF_maiuscula,0
geolocation,geolocation_state,UF_maiuscula,0
customers,customer_zip_code_prefix,CEP_invalido_para_ausente,0
customers,customer_zip_code_prefix,CEP_cinco_digitos,0
sellers,seller_zip_code_prefix,CEP_invalido_para_ausente,0
sellers,seller_zip_code_prefix,CEP_cinco_digitos,0
geolocation,geolocation_zip_code_prefix,CEP_invalido_para_ausente,0
geolocation,geolocation_zip_code_prefix,CEP_cinco_digitos,0
orders,order_purchase_timestamp,data_invalida_para_NaT,0
orders,order_approved_at,data_invalida_para_NaT,0
orders,order_delivered_carrier_date,data_invalida_para_NaT,0
orders,order_delivered_customer_date,data_invalida_para_NaT,0
orders,order_estimated_delivery_date,data_invalida_para_NaT,0
items,shipping_limit_date,data_invalida_para_NaT,0
reviews,review_creation_date,data_invalida_para_NaT,0
reviews,review_answer_timestamp,data_invalida_para_NaT,0
products,product_photos_qty,numero_invalido_para_ausente,0
products,product_name_lenght,numero_invalido_para_ausente,0
products,product_description_lenght,numero_invalido_para_ausente,0
products,product_weight_g,numero_invalido_para_ausente,0
products,product_weight_g,medida_zero_para_ausente,4
products,product_length_cm,numero_invalido_para_ausente,0
products,product_length_cm,medida_zero_para_ausente,0
products,product_height_cm,numero_invalido_para_ausente,0
products,product_height_cm,medida_zero_para_ausente,0
products,product_width_cm,numero_invalido_para_ausente,0
products,product_width_cm,medida_zero_para_ausente,0
items,order_item_id,numero_invalido_para_ausente,0
payments,payment_sequential,numero_invalido_para_ausente,0
payments,payment_installments,numero_invalido_para_ausente,2
reviews,review_score,numero_invalido_para_ausente,0
geolocation,geolocation_lat,numero_invalido_para_ausente,0
geolocation,geolocation_lng,numero_invalido_para_ausente,0
items,price,valor_monetario_invalido_para_ausente,0
items,freight_value,valor_monetario_invalido_para_ausente,0
payments,payment_value,valor_monetario_invalido_para_ausente,0
geolocation,linha,duplicata_exata_removida,261831
geolocation,linha,duplicata_apos_padronizacao_removida,0
