tabela,coluna,tipo,ausentes,percentual
customers,customer_id,string,0,0.0
customers,customer_unique_id,string,0,0.0
customers,customer_zip_code_prefix,string,0,0.0
customers,customer_city,string,0,0.0
customers,customer_state,string,0,0.0
orders,order_id,string,0,0.0
orders,customer_id,string,0,0.0
orders,order_status,string,0,0.0
orders,order_purchase_timestamp,datetime64[ns],0,0.0
orders,order_approved_at,datetime64[ns],160,0.16
orders,order_delivered_carrier_date,datetime64[ns],1783,1.79
orders,order_delivered_customer_date,datetime64[ns],2965,2.98
orders,order_estimated_delivery_date,datetime64[ns],0,0.0
orders,flag_date_sequence,bool,0,0.0
orders,flag_delivered_without_date,boolean,0,0.0
orders,flag_date_without_delivered_status,boolean,0,0.0
orders,eligible_delivery_analysis,boolean,0,0.0
orders,delivery_days,float64,4344,4.37
orders,delay_days,Int64,4344,4.37
orders,is_late,boolean,4344,4.37
items,order_id,string,0,0.0
items,order_item_id,Int64,0,0.0
items,product_id,string,0,0.0
items,seller_id,string,0,0.0
items,shipping_limit_date,datetime64[ns],0,0.0
items,price,Float64,0,0.0
items,freight_value,Float64,0,0.0
items,price_cents,Int64,0,0.0
items,freight_value_cents,Int64,0,0.0
items,flag_shipping_review,bool,0,0.0
payments,order_id,string,0,0.0
payments,payment_sequential,Int64,0,0.0
payments,payment_type,string,0,0.0
payments,payment_installments,Int64,2,0.0
payments,payment_value,Float64,0,0.0
payments,payment_value_cents,Int64,0,0.0
payments,flag_payment_zero,boolean,0,0.0
reviews,review_id,string,0,0.0
reviews,order_id,string,0,0.0
reviews,review_score,Int64,0,0.0
reviews,review_comment_title,string,87658,88.34
reviews,review_comment_message,string,58274,58.73
reviews,review_creation_date,datetime64[ns],0,0.0
reviews,review_answer_timestamp,datetime64[ns],0,0.0
products,product_id,string,0,0.0
products,product_category_name,string,610,1.85
products,product_name_length,Int64,610,1.85
products,product_description_length,Int64,610,1.85
products,product_photos_qty,Int64,610,1.85
products,product_weight_g,Float64,6,0.02
products,product_length_cm,Float64,2,0.01
products,product_height_cm,Float64,2,0.01
products,product_width_cm,Float64,2,0.01
products,flag_category_missing,bool,0,0.0
products,category_label,string,0,0.0
products,flag_translation_missing,bool,0,0.0
sellers,seller_id,string,0,0.0
sellers,seller_zip_code_prefix,string,0,0.0
sellers,seller_city,string,0,0.0
sellers,seller_state,string,0,0.0
geolocation,geolocation_zip_code_prefix,string,0,0.0
geolocation,geolocation_lat,Float64,0,0.0
geolocation,geolocation_lng,Float64,0,0.0
geolocation,geolocation_city,string,0,0.0
geolocation,geolocation_state,string,0,0.0
geolocation,flag_coord_candidate,boolean,0,0.0
translation,product_category_name,string,0,0.0
translation,product_category_name_english,string,0,0.0
