mes_compra,pedidos,merchandise_cents,pedidos_na_base,valor_mercadorias_brl,ticket_brl,percentual_elegivel,borda_observacao
2016-09,1,13497,4,134.97,134.97,25.0,True
2016-10,265,4032511,324,40325.11,152.17022641509433,81.79012345679013,False
2016-11,0,0,0,0.0,,,False
2016-12,1,1090,1,10.9,10.9,100.0,False
2017-01,750,11179836,800,111798.36,149.06448,93.75,False
2017-02,1653,23422340,1780,234223.4,141.69594676346037,92.86516853932584,False
2017-03,2546,35919885,2682,359198.85,141.0836017282011,94.92915734526473,False
2017-04,2303,34066968,2404,340669.68,147.9243074250977,95.79866888519135,False
2017-05,3546,48933825,3700,489338.25,137.99725042301185,95.83783783783784,False
2017-06,3135,42192337,3245,421923.37,134.58480701754385,96.61016949152543,False
2017-07,3872,48160452,4026,481604.52,124.3813326446281,96.17486338797814,False
2017-08,4193,55469970,4331,554699.7,132.29184354877174,96.81366889863773,False
2017-09,4150,60739967,4285,607399.67,146.36136626506024,96.8494749124854,False
2017-10,4478,64824765,4631,648247.65,144.76276239392587,96.69617793133233,False
2017-11,7289,98776537,7544,987765.37,135.51452462614898,96.61983032873806,False
2017-12,5513,72603319,5673,726033.19,131.69475603119898,97.17962277454609,False
2018-01,7069,92464500,7269,924645.0,130.80280096194653,97.24858990232494,False
2018-02,6555,82643713,6728,826437.13,126.0773653699466,97.42865636147442,False
2018-03,7003,95335625,7211,953356.25,136.13540625446237,97.11551795867425,False
2018-04,6798,97353409,6939,973534.09,143.2088982053545,97.96800691742325,False
2018-05,6749,97754469,6873,977544.69,144.8428937620388,98.19583878946602,False
2018-06,6099,85607786,6167,856077.86,140.36364322020003,98.89735689962704,False
2018-07,6159,86795346,6292,867953.46,140.9244130540672,97.88620470438653,False
2018-08,6351,83857664,6512,838576.64,132.03851991812314,97.52764127764128,False
2018-09,0,0,16,0.0,,0.0,False
2018-10,0,0,4,0.0,,0.0,True
